,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,31.3,15.0,31.3
1,5.0,54.3,54.9,54.3
2,10.0,110.1,116.2,110.1
3,20.0,236.4,240.5,236.4
4,30.0,331.9,325.7,331.9
5,40.0,403.7,394.7,403.7
6,50.0,469.3,457.3,469.3
7,60.0,538.4,523.5,538.4
8,70.0,617.4,600.0,617.4
9,80.0,712.0,689.3,712.0
10,90.0,,,
11,95.0,,,
12,99.0,,,
