,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,32.0,34.5,32.0
1,5.0,78.5,58.3,78.5
2,10.0,144.9,121.1,144.9
3,20.0,266.0,250.6,266.0
4,30.0,344.8,337.3,344.8
5,40.0,412.1,404.7,412.1
6,50.0,468.9,462.1,468.9
7,60.0,527.7,521.8,527.7
8,70.0,595.7,591.9,595.7
9,80.0,682.4,676.0,682.4
10,90.0,,,
11,95.0,,,
12,99.0,,,
