,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,30.2,1.5,30.2
1,5.0,36.0,39.0,36.0
2,10.0,93.5,87.4,93.5
3,20.0,138.4,139.7,138.4
4,30.0,197.8,198.7,197.8
5,40.0,256.3,255.0,256.3
6,50.0,311.7,308.3,311.7
7,60.0,367.8,363.7,367.8
8,70.0,427.7,423.0,427.7
9,80.0,505.8,495.9,505.8
10,90.0,633.1,611.3,633.1
11,95.0,,681.9,
12,99.0,,,
