,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,33.9,34.5,33.9
1,5.0,68.2,49.3,68.2
2,10.0,107.5,88.0,107.5
3,20.0,195.7,200.5,195.7
4,30.0,319.2,324.0,319.2
5,40.0,390.8,394.8,390.8
6,50.0,455.0,456.5,455.0
7,60.0,531.8,529.6,531.8
8,70.0,618.7,615.5,618.7
9,80.0,715.3,700.3,715.3
10,90.0,,,
11,95.0,,,
12,99.0,,,
