,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,33.4,33.7,33.4
1,5.0,41.7,61.5,41.7
2,10.0,98.7,93.7,98.7
3,20.0,130.2,137.2,130.2
4,30.0,173.1,179.1,173.1
5,40.0,220.4,226.3,220.4
6,50.0,270.9,279.4,270.9
7,60.0,323.7,333.8,323.7
8,70.0,380.7,395.8,380.7
9,80.0,441.9,464.8,441.9
10,90.0,543.3,565.9,543.3
11,95.0,620.7,650.6,620.7
12,99.0,,,
