,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,34.9,35.4,34.9
1,5.0,57.7,68.3,57.7
2,10.0,94.0,104.1,94.0
3,20.0,200.6,203.1,200.6
4,30.0,324.0,319.4,324.0
5,40.0,400.6,392.7,400.6
6,50.0,469.4,460.2,469.4
7,60.0,549.1,538.7,549.1
8,70.0,637.7,624.5,637.7
9,80.0,719.6,702.2,719.6
10,90.0,,,
11,95.0,,,
12,99.0,,,
