,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,32.1,34.4,32.1
1,5.0,41.9,42.2,41.9
2,10.0,98.6,76.1,98.6
3,20.0,232.7,220.1,232.7
4,30.0,330.7,337.2,330.7
5,40.0,402.5,411.8,402.5
6,50.0,467.9,480.9,467.9
7,60.0,542.0,560.5,542.0
8,70.0,626.2,642.2,626.2
9,80.0,715.3,707.6,715.3
10,90.0,,,
11,95.0,,,
12,99.0,,,
