,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,30.7,19.6,30.7
1,5.0,44.1,49.9,44.1
2,10.0,113.0,118.8,113.0
3,20.0,236.0,253.4,236.0
4,30.0,322.0,331.2,322.0
5,40.0,393.6,397.7,393.6
6,50.0,460.8,460.9,460.8
7,60.0,538.1,533.0,538.1
8,70.0,626.0,615.3,626.0
9,80.0,,698.3,
10,90.0,,,
11,95.0,,,
12,99.0,,,
