,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,32.7,34.6,32.7
1,5.0,102.5,86.2,102.5
2,10.0,168.8,164.0,168.8
3,20.0,261.7,264.8,261.7
4,30.0,326.0,330.3,326.0
5,40.0,387.8,392.5,387.8
6,50.0,447.8,452.6,447.8
7,60.0,518.6,521.0,518.6
8,70.0,603.3,601.7,603.3
9,80.0,706.1,686.9,706.1
10,90.0,,,
11,95.0,,,
12,99.0,,,
