,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,33.8,34.3,33.8
1,5.0,83.6,85.1,83.6
2,10.0,163.0,160.5,163.0
3,20.0,265.1,253.2,265.1
4,30.0,330.1,318.1,330.1
5,40.0,385.7,372.2,385.7
6,50.0,440.6,426.2,440.6
7,60.0,506.0,489.8,506.0
8,70.0,599.7,583.0,599.7
9,80.0,706.6,696.2,706.6
10,90.0,,,
11,95.0,,,
12,99.0,,,
