,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,33.5,33.8,33.5
1,5.0,79.9,42.8,79.9
2,10.0,116.0,70.7,116.0
3,20.0,165.6,111.6,165.6
4,30.0,199.1,168.6,199.1
5,40.0,260.6,246.2,260.6
6,50.0,323.3,326.0,323.3
7,60.0,385.0,403.1,385.0
8,70.0,452.5,483.5,452.5
9,80.0,539.0,581.7,539.0
10,90.0,671.9,663.4,671.9
11,95.0,,,
12,99.0,,,
