,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,31.3,33.4,31.3
1,5.0,78.0,55.0,78.0
2,10.0,104.1,94.0,104.1
3,20.0,166.9,149.5,166.9
4,30.0,235.0,202.7,235.0
5,40.0,294.6,262.4,294.6
6,50.0,352.2,321.0,352.2
7,60.0,415.2,383.1,415.2
8,70.0,481.4,448.6,481.4
9,80.0,570.5,531.1,570.5
10,90.0,714.2,634.1,714.2
11,95.0,,683.5,
12,99.0,,,
