,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,34.2,35.0,34.2
1,5.0,138.0,138.1,138.0
2,10.0,192.1,190.9,192.1
3,20.0,261.9,260.4,261.9
4,30.0,310.6,310.1,310.6
5,40.0,352.4,353.6,352.4
6,50.0,394.1,397.5,394.1
7,60.0,427.7,443.2,427.7
8,70.0,499.8,511.6,499.8
9,80.0,596.8,630.7,596.8
10,90.0,718.0,,718.0
11,95.0,,,
12,99.0,,,
