,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,35.0,35.0,35.0
1,5.0,111.0,109.6,111.0
2,10.0,174.4,166.6,174.4
3,20.0,247.0,242.8,247.0
4,30.0,300.6,300.1,300.6
5,40.0,350.3,352.4,350.3
6,50.0,401.0,408.5,401.0
7,60.0,454.1,472.9,454.1
8,70.0,531.3,559.9,531.3
9,80.0,639.0,665.2,639.0
10,90.0,,,
11,95.0,,,
12,99.0,,,
