,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,31.0,33.7,31.0
1,5.0,40.1,40.0,40.1
2,10.0,91.9,90.1,91.9
3,20.0,203.5,224.4,203.5
4,30.0,319.8,332.0,319.8
5,40.0,394.4,403.8,394.4
6,50.0,462.1,471.6,462.1
7,60.0,539.8,547.8,539.8
8,70.0,626.2,632.0,626.2
9,80.0,716.8,715.0,716.8
10,90.0,,,
11,95.0,,,
12,99.0,,,
