,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,31.6,33.6,31.6
1,5.0,63.3,41.7,63.3
2,10.0,107.6,87.5,107.6
3,20.0,240.7,232.3,240.7
4,30.0,332.1,332.6,332.1
5,40.0,397.7,403.2,397.7
6,50.0,460.2,468.7,460.2
7,60.0,531.3,543.0,531.3
8,70.0,611.7,626.2,611.7
9,80.0,701.9,711.5,701.9
10,90.0,,,
11,95.0,,,
12,99.0,,,
