,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,33.4,33.4,33.4
1,5.0,44.6,52.8,44.6
2,10.0,101.9,98.9,101.9
3,20.0,168.7,160.2,168.7
4,30.0,230.2,220.6,230.2
5,40.0,285.5,276.3,285.5
6,50.0,338.1,328.8,338.1
7,60.0,394.1,386.2,394.1
8,70.0,455.5,445.4,455.5
9,80.0,533.3,521.1,533.3
10,90.0,632.3,629.8,632.3
11,95.0,708.4,693.4,708.4
12,99.0,,,
