,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,34.0,34.9,34.0
1,5.0,124.3,112.0,124.3
2,10.0,187.9,175.7,187.9
3,20.0,260.8,259.0,260.8
4,30.0,314.5,316.5,314.5
5,40.0,362.3,366.4,362.3
6,50.0,408.1,415.3,408.1
7,60.0,454.2,468.2,454.2
8,70.0,517.9,545.4,517.9
9,80.0,638.8,653.2,638.8
10,90.0,,,
11,95.0,,,
12,99.0,,,
