,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,33.3,33.9,33.3
1,5.0,34.9,50.7,34.9
2,10.0,99.9,131.3,99.9
3,20.0,268.7,266.3,268.7
4,30.0,343.8,342.5,343.8
5,40.0,406.8,409.0,406.8
6,50.0,470.7,470.0,470.7
7,60.0,540.9,536.9,540.9
8,70.0,618.4,612.7,618.4
9,80.0,708.0,691.0,708.0
10,90.0,,,
11,95.0,,,
12,99.0,,,
