,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,31.7,33.8,31.7
1,5.0,100.4,85.3,100.4
2,10.0,141.0,145.7,141.0
3,20.0,214.1,244.5,214.1
4,30.0,295.4,319.3,295.4
5,40.0,366.7,389.4,366.7
6,50.0,438.6,458.0,438.6
7,60.0,518.9,533.6,518.9
8,70.0,607.1,617.3,607.1
9,80.0,705.2,699.2,705.2
10,90.0,,,
11,95.0,,,
12,99.0,,,
