,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,33.2,34.6,33.2
1,5.0,104.3,89.4,104.3
2,10.0,158.9,145.4,158.9
3,20.0,244.8,236.3,244.8
4,30.0,311.1,304.2,311.1
5,40.0,372.6,366.4,372.6
6,50.0,432.6,427.6,432.6
7,60.0,501.7,492.4,501.7
8,70.0,581.9,568.9,581.9
9,80.0,686.3,661.2,686.3
10,90.0,,693.1,
11,95.0,,,
12,99.0,,,
