,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,-0.5,16.0,-0.5
1,5.0,99.2,93.5,99.2
2,10.0,183.1,168.5,183.1
3,20.0,267.3,256.0,267.3
4,30.0,321.6,314.6,321.6
5,40.0,365.6,365.2,365.6
6,50.0,412.0,417.6,412.0
7,60.0,465.9,477.6,465.9
8,70.0,549.9,561.6,549.9
9,80.0,663.2,662.7,663.2
10,90.0,,,
11,95.0,,,
12,99.0,,,
