,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,30.6,15.3,30.6
1,5.0,53.6,47.1,53.6
2,10.0,96.8,83.2,96.8
3,20.0,136.2,130.8,136.2
4,30.0,195.6,184.5,195.6
5,40.0,253.8,238.2,253.8
6,50.0,312.5,292.4,312.5
7,60.0,372.9,348.6,372.9
8,70.0,438.5,410.8,438.5
9,80.0,527.3,486.9,527.3
10,90.0,698.4,604.0,698.4
11,95.0,,658.8,
12,99.0,,690.5,
