,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,33.5,33.7,33.5
1,5.0,36.4,49.5,36.4
2,10.0,49.5,88.4,49.5
3,20.0,94.2,162.9,94.2
4,30.0,129.0,233.2,129.0
5,40.0,185.2,296.5,185.2
6,50.0,264.2,359.4,264.2
7,60.0,343.2,421.2,343.2
8,70.0,428.3,492.1,428.3
9,80.0,534.5,584.0,534.5
10,90.0,706.3,685.6,706.3
11,95.0,,,
12,99.0,,,
