,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,32.3,34.5,32.3
1,5.0,48.9,49.5,48.9
2,10.0,100.4,99.7,100.4
3,20.0,242.0,251.0,242.0
4,30.0,331.0,337.9,331.0
5,40.0,402.1,408.7,402.1
6,50.0,465.9,475.5,465.9
7,60.0,536.2,550.8,536.2
8,70.0,615.9,630.7,615.9
9,80.0,706.0,702.2,706.0
10,90.0,,,
11,95.0,,,
12,99.0,,,
