,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,34.5,35.3,34.5
1,5.0,113.9,127.5,113.9
2,10.0,190.4,188.5,190.4
3,20.0,261.0,258.8,261.0
4,30.0,310.4,309.4,310.4
5,40.0,356.3,355.5,356.3
6,50.0,403.6,405.0,403.6
7,60.0,454.5,462.0,454.5
8,70.0,534.0,545.6,534.0
9,80.0,653.4,651.1,653.4
10,90.0,,701.7,
11,95.0,,,
12,99.0,,,
