,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,31.9,33.7,31.9
1,5.0,76.2,71.5,76.2
2,10.0,95.9,103.1,95.9
3,20.0,150.9,163.2,150.9
4,30.0,207.4,223.7,207.4
5,40.0,268.1,283.6,268.1
6,50.0,327.8,342.8,327.8
7,60.0,392.4,405.4,392.4
8,70.0,460.5,471.5,460.5
9,80.0,544.6,555.8,544.6
10,90.0,680.1,668.7,680.1
11,95.0,,685.6,
12,99.0,,,
