,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,33.4,33.7,33.4
1,5.0,44.4,52.7,44.4
2,10.0,99.2,87.8,99.2
3,20.0,133.3,128.8,133.3
4,30.0,175.8,172.3,175.8
5,40.0,227.9,220.2,227.9
6,50.0,285.9,275.0,285.9
7,60.0,344.2,331.0,344.2
8,70.0,407.8,394.5,407.8
9,80.0,490.9,468.0,490.9
10,90.0,617.0,580.4,617.0
11,95.0,,654.2,
12,99.0,,,
