,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,30.3,33.7,30.3
1,5.0,71.7,53.2,71.7
2,10.0,102.7,90.9,102.7
3,20.0,155.6,142.6,155.6
4,30.0,197.5,196.0,197.5
5,40.0,254.5,254.9,254.5
6,50.0,314.3,315.1,314.3
7,60.0,376.0,378.3,376.0
8,70.0,445.5,450.0,445.5
9,80.0,537.7,540.6,537.7
10,90.0,693.3,651.6,693.3
11,95.0,,681.8,
12,99.0,,,
