,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,34.6,33.9,34.6
1,5.0,52.3,54.1,52.3
2,10.0,85.6,85.2,85.6
3,20.0,133.5,126.1,133.5
4,30.0,178.8,170.8,178.8
5,40.0,234.7,223.2,234.7
6,50.0,295.3,280.4,295.3
7,60.0,357.2,339.5,357.2
8,70.0,427.7,406.3,427.7
9,80.0,513.1,484.1,513.1
10,90.0,645.2,597.2,645.2
11,95.0,,651.1,
12,99.0,,,
