,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,31.0,16.0,31.0
1,5.0,63.4,48.2,63.4
2,10.0,116.4,111.1,116.4
3,20.0,244.9,243.2,244.9
4,30.0,333.5,328.0,333.5
5,40.0,403.6,397.1,403.6
6,50.0,465.0,461.0,465.0
7,60.0,534.7,530.2,534.7
8,70.0,616.6,608.6,616.6
9,80.0,717.2,692.3,717.2
10,90.0,,,
11,95.0,,,
12,99.0,,,
