,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,33.4,34.1,33.4
1,5.0,69.2,53.2,69.2
2,10.0,122.0,119.1,122.0
3,20.0,248.4,253.1,248.4
4,30.0,325.7,331.0,325.7
5,40.0,391.9,398.7,391.9
6,50.0,457.1,462.6,457.1
7,60.0,532.5,535.7,532.5
8,70.0,616.0,618.2,616.0
9,80.0,709.7,698.8,709.7
10,90.0,,,
11,95.0,,,
12,99.0,,,
