,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,34.1,33.5,34.1
1,5.0,39.8,51.0,39.8
2,10.0,92.8,93.8,92.8
3,20.0,147.8,139.4,147.8
4,30.0,176.2,169.8,176.2
5,40.0,260.3,234.5,260.3
6,50.0,314.0,310.3,314.0
7,60.0,349.2,350.2,349.2
8,70.0,378.1,381.1,378.1
9,80.0,407.4,410.5,407.4
10,90.0,438.7,448.8,438.7
11,95.0,469.7,486.9,469.7
12,99.0,589.8,573.8,589.8
