,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,33.9,34.1,33.9
1,5.0,94.3,60.2,94.3
2,10.0,141.0,110.9,141.0
3,20.0,257.5,223.0,257.5
4,30.0,335.9,313.3,335.9
5,40.0,406.1,391.7,406.1
6,50.0,477.8,466.6,477.8
7,60.0,554.7,547.7,554.7
8,70.0,633.8,631.9,633.8
9,80.0,716.8,704.4,716.8
10,90.0,,,
11,95.0,,,
12,99.0,,,
