,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,35.3,34.7,35.3
1,5.0,68.8,72.0,68.8
2,10.0,104.8,100.1,104.8
3,20.0,150.4,142.0,150.4
4,30.0,192.4,187.4,192.4
5,40.0,237.9,236.2,237.9
6,50.0,287.9,283.9,287.9
7,60.0,338.0,332.4,338.0
8,70.0,388.3,388.0,388.3
9,80.0,464.8,453.2,464.8
10,90.0,575.0,550.3,575.0
11,95.0,719.7,623.8,719.7
12,99.0,,,
