,mass [%],T_recent [C],T_avg [C],T_std [C]
0,0.0,35.6,34.4,35.6
1,5.0,80.6,77.3,80.6
2,10.0,110.5,106.2,110.5
3,20.0,162.1,157.2,162.1
4,30.0,215.5,210.5,215.5
5,40.0,262.5,260.0,262.5
6,50.0,310.1,310.1,310.1
7,60.0,360.5,363.7,360.5
8,70.0,417.3,424.1,417.3
9,80.0,480.5,494.4,480.5
10,90.0,567.0,602.5,567.0
11,95.0,629.5,666.0,629.5
12,99.0,708.1,,708.1
